Name,Requirement,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Giga Bomb,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4
Elixir Storage,Town Hall,1,3,6,8,9,10,11,11,11,11,12,13,14,15,16,17,18,19,19
Gold Storage,Town Hall,1,3,6,8,9,10,11,11,11,11,12,13,14,15,16,17,18,19,19
Dark Elixir Storage,Town Hall,0,0,0,0,0,0,2,4,6,6,6,7,8,9,10,11,12,13,13
Elixir Collector,Town Hall,2,4,6,8,10,10,11,12,12,13,14,15,15,16,16,17,17,20,20
Gold Mine,Town Hall,2,4,6,8,10,10,11,12,12,13,14,15,15,16,16,17,17,20,20
Dark Elixir Drill,Town Hall,0,0,0,0,0,0,3,3,6,7,8,9,9,10,10,11,11,14,14
Helper Hut,Town Hall,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Army Camp,Town Hall,1,2,3,4,5,6,6,6,7,8,9,10,11,11,12,12,13,14,14
Barracks,Town Hall,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,19,19
Clan Castle,Town Hall,1,1,1,2,2,3,3,4,5,6,7,8,9,10,11,12,13,14,14
Laboratory,Town Hall,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16
Hero Hall,Town Hall,0,0,0,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,13
Dark Barracks,Town Hall,0,0,0,0,0,0,2,4,6,7,8,9,10,11,12,13,13,13,13
Spell Factory,Town Hall,0,0,0,0,1,2,3,3,4,5,6,6,7,7,8,9,9,9,9
Dark Spell Factory,Town Hall,0,0,0,0,0,0,0,2,4,5,5,6,6,7,8,8,8,8,8
Blacksmith,Town Hall,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,9,9,9
Workshop,Town Hall,0,0,0,0,0,0,0,0,0,0,0,3,5,6,7,8,9,9,9
Pet House,Town Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,11,12,12
Barbarian King,Hero Hall,1,10,20,30,40,65,75,85,90,95,100,105,110,110,110,110,110,110,110
Archer Queen,Hero Hall,0,10,30,40,65,75,85,90,95,100,105,110,110,110,110,110,110,110,110
Minion Prince,Hero Hall,0,0,10,20,30,40,50,60,70,80,90,95,95,95,95,95,95,95,95
Grand Warden,Hero Hall,0,0,0,0,20,40,50,60,65,70,75,85,85,85,85,85,85,85,85
Royal Champion,Hero Hall,0,0,0,0,0,0,25,30,40,45,50,55,55,55,55,55,55,55,55
Dragon Duke,Hero Hall,0,0,0,0,0,0,0,0,10,15,20,25,25,25,25,25,25,25,25
Barbarian,Laboratory,2,2,3,3,4,5,6,7,8,9,9,10,11,12,12,13,13,13,13
Archer,Laboratory,2,2,3,3,4,5,6,7,8,9,9,10,11,12,13,14,14,14,14
Giant,Laboratory,1,2,2,3,4,5,6,7,8,9,10,10,11,12,13,14,14,14,14
Goblin,Laboratory,2,2,3,3,4,5,6,7,7,8,8,8,9,9,9,10,10,10,10
Wall Breaker,Laboratory,1,2,2,3,4,5,5,6,7,8,9,10,11,12,13,14,14,14,14
Balloon,Laboratory,1,2,2,3,4,5,6,6,7,8,9,10,10,11,12,13,13,13,13
Wizard,Laboratory,1,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,14,14,14
Healer,Laboratory,1,1,1,1,2,3,4,4,5,5,6,7,8,9,10,11,11,11,11
Dragon,Laboratory,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,13,13,13
P.E.K.K.A.,Laboratory,1,1,1,1,1,3,4,6,7,8,9,9,10,11,12,13,13,13,13
Baby Dragon,Laboratory,1,1,1,1,1,1,2,4,5,6,7,8,9,10,11,12,12,12,12
Miner,Laboratory,1,1,1,1,1,1,1,3,5,6,7,8,9,10,11,12,12,12,12
Electro Dragon,Laboratory,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,9,9,9
Yeti,Laboratory,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,8,8,8
Dragon Rider,Laboratory,1,1,1,1,1,1,1,1,1,1,2,3,3,4,5,6,6,6,6
Electro Titan,Laboratory,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,5,5,5,5
Root Rider,Laboratory,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4
Thrower,Laboratory,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4
Meteor Golem,Laboratory,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3
Minion,Laboratory,1,1,1,1,2,4,5,6,7,8,9,10,11,12,13,14,14,14,14
Hog Rider,Laboratory,1,1,1,1,2,4,5,6,7,9,10,11,12,13,14,15,15,15,15
Valkyrie,Laboratory,1,1,1,1,1,2,4,5,6,7,8,9,10,11,12,12,12,12,12
Golem,Laboratory,1,1,1,1,1,2,4,5,7,9,10,11,12,13,14,15,15,15,15
Witch,Laboratory,1,1,1,1,1,1,2,3,4,5,5,5,6,7,7,8,8,8,8
Lava Hound,Laboratory,1,1,1,1,1,1,2,3,4,5,6,6,6,7,7,8,8,8,8
Bowler,Laboratory,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,10,10,10
Ice Golem,Laboratory,1,1,1,1,1,1,1,1,3,5,5,6,7,8,9,9,9,9,9
Headhunter,Laboratory,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,4,4,4,4
Apprentice Warden,Laboratory,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4
Druid,Laboratory,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,6,6,6
Furnace,Laboratory,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4
Ruin Witch,Laboratory,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4
Lightning Spell,Laboratory,2,3,4,4,4,5,6,7,8,9,9,9,10,11,12,13,13,13,13
Healing Spell,Laboratory,1,2,2,3,4,5,6,7,7,7,8,8,9,10,11,12,12,12,12
Rage Spell,Laboratory,1,1,2,3,4,5,5,5,5,6,6,6,6,6,6,7,7,7,7
Jump Spell,Laboratory,1,1,1,1,2,2,2,3,3,3,4,4,5,5,5,5,5,5,5
Freeze Spell,Laboratory,1,1,1,1,1,1,2,5,6,7,7,7,7,7,7,8,8,8,8
Clone Spell,Laboratory,1,1,1,1,1,1,1,3,5,5,6,7,8,8,8,9,9,9,9
Invisibility Spell,Laboratory,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,4
Recall Spell,Laboratory,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,7,7,7
Revive Spell,Laboratory,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,5,5,5
Totem Spell,Laboratory,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4
Poison Spell,Laboratory,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,12,12,12
Earthquake Spell,Laboratory,1,1,1,1,1,2,3,4,5,5,5,6,6,7,7,8,8,8,8
Haste Spell,Laboratory,1,1,1,1,1,1,2,4,5,5,5,5,5,5,6,7,7,7,7
Skeleton Spell,Laboratory,1,1,1,1,1,1,1,3,4,6,7,7,8,8,8,8,8,8,8
Bat Spell,Laboratory,1,1,1,1,1,1,1,3,4,5,5,5,6,6,7,8,8,8,8
Overgrowth Spell,Laboratory,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,5,5,5,5
Ice Block Spell,Laboratory,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,6,6,6
Angry Spell,Laboratory,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4
Wall Wrecker,Laboratory,1,1,1,1,1,1,1,1,1,3,4,4,5,5,5,6,6,6,6
Battle Blimp,Laboratory,1,1,1,1,1,1,1,1,1,3,4,4,5,5,5,6,6,6,6
Stone Slammer,Laboratory,1,1,1,1,1,1,1,1,1,3,4,4,5,5,5,6,6,6,6
Siege Barracks,Laboratory,1,1,1,1,1,1,1,1,1,3,4,4,4,5,5,6,6,6,6
Log Launcher,Laboratory,1,1,1,1,1,1,1,1,1,3,4,4,4,5,5,6,6,6,6
Flame Flinger,Laboratory,1,1,1,1,1,1,1,1,1,3,4,4,4,5,5,5,5,5,5
Battle Drill,Laboratory,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,6,6,6,6
Troop Launcher,Laboratory,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4
Sky Wagon,Laboratory,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4
L.A.S.S.I.,Pet House,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Electro Owl,Pet House,0,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15
Yak,Pet House,0,0,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15
Unicorn,Pet House,0,0,0,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15
Frosty,Pet House,0,0,0,0,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15
Diggy,Pet House,0,0,0,0,0,10,10,10,10,10,10,15,15,15,15,15,15,15,15
Poison Lizard,Pet House,0,0,0,0,0,0,10,10,10,10,15,15,15,15,15,15,15,15,15
Phoenix,Pet House,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10
Spirit Fox,Pet House,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10
Angry Jelly,Pet House,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10
Sneezy,Pet House,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10
Greedy Raven,Pet House,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10
Barbarian Puppet,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Rage Vial,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Earthquake Boots,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Vampstache,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Giant Gauntlet,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Spiky Ball,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Snake Bracelet,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Stick Horse,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Archer Puppet,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Invisibility Vial,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Giant Arrow,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Healer Puppet,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Frozen Arrow,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Magic Mirror,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Action Figure,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Monolith Arrow,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Henchmen Puppet,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Dark Orb,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Metal Pants,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Noble Iron,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Dark Crown,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Meteor Staff,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Portal Pendant,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Eternal Tome,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Life Gem,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Rage Gem,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Healing Tome,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Fireball,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Lavaloon Puppet,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Heroic Torch,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Royal Gem,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Seeking Shield,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Hog Puppet,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Haste Vial,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Rocket Spear,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Electro Boots,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Frost Flake,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Fire Heart,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Flame Blower,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Stun Blaster,Blacksmith,9,9,12,12,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18
Rocket Backpack,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
Revenge Deck,Blacksmith,12,12,15,15,18,18,21,24,27,27,27,27,27,27,27,27,27,27,27
