Name,Time,Cost,Resource,Image
Logger 2,604800,18000000,Elixir,https://static.wikia.nocookie.net/clashofclans/images/0/03/Guardians_Logger_info2.png
Logger 3,777600,22000000,Elixir,https://static.wikia.nocookie.net/clashofclans/images/0/03/Guardians_Logger_info2.png
Logger 4,950400,26000000,Elixir,https://static.wikia.nocookie.net/clashofclans/images/0/03/Guardians_Logger_info2.png
Logger 5,1123200,28000000,Elixir,https://static.wikia.nocookie.net/clashofclans/images/0/03/Guardians_Logger_info2.png
Cannon 1,5,250,Gold,https://static.wikia.nocookie.net/clashofclans/images/a/a1/Cannon1.png
Cannon 2,60,1000,Gold,https://static.wikia.nocookie.net/clashofclans/images/d/dc/Cannon2.png
Cannon 3,120,4000,Gold,https://static.wikia.nocookie.net/clashofclans/images/1/10/Cannon3.png
Cannon 4,1200,16000,Gold,https://static.wikia.nocookie.net/clashofclans/images/a/a5/Cannon4.png
Cannon 5,1800,50000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/ea/Cannon5.png
Cannon 6,3600,60000,Gold,https://static.wikia.nocookie.net/clashofclans/images/9/93/Cannon6.png
Cannon 7,7200,100000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/60/Cannon7.png
Cannon 8,10800,160000,Gold,https://static.wikia.nocookie.net/clashofclans/images/2/27/Cannon8.png
Cannon 9,12600,250000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/36/Cannon9.png
Cannon 10,14400,330000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/48/Cannon10.png
Cannon 11,16200,500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/d/d2/Cannon11.png
Cannon 12,18000,600000,Gold,https://static.wikia.nocookie.net/clashofclans/images/2/20/Cannon12.png
Cannon 13,21600,660000,Gold,https://static.wikia.nocookie.net/clashofclans/images/f/fe/Cannon13.png
Cannon 14,28800,1000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/5/5e/Cannon14.png
Cannon 15,36000,1200000,Gold,https://static.wikia.nocookie.net/clashofclans/images/8/8d/Cannon15.png
Cannon 16,39600,1300000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/09/Cannon16.png
Cannon 17,43200,1500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/8/86/Cannon17.png
Cannon 18,57600,1800000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/40/Cannon18.png
Cannon 19,72000,2000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/2/23/Cannon19.png
Cannon 20,86400,2600000,Gold,https://static.wikia.nocookie.net/clashofclans/images/a/a6/Cannon20.png
Cannon 21,129600,3000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/8/8d/Cannon21.png
Archer Tower 1,15,1000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/6e/Archer_Tower1.png
Archer Tower 2,120,2000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/e0/Archer_Tower2.png
Archer Tower 3,1200,5000,Gold,https://static.wikia.nocookie.net/clashofclans/images/9/9e/Archer_Tower3.png
Archer Tower 4,3600,20000,Gold,https://static.wikia.nocookie.net/clashofclans/images/b/b8/Archer_Tower4.png
Archer Tower 5,5400,70000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/e8/Archer_Tower5.png
Archer Tower 6,7200,80000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/70/Archer_Tower6.png
Archer Tower 7,10800,150000,Gold,https://static.wikia.nocookie.net/clashofclans/images/1/1f/Archer_Tower7.png
Archer Tower 8,14400,200000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/e2/Archer_Tower8.png
Archer Tower 9,18000,400000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/4a/Archer_Tower9.png
Archer Tower 10,21600,460000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/45/Archer_Tower10.png
Archer Tower 11,25200,600000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/03/Archer_Tower11.png
Archer Tower 12,28800,700000,Gold,https://static.wikia.nocookie.net/clashofclans/images/f/f0/Archer_Tower12.png
Archer Tower 13,36000,1000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/f/fb/Archer_Tower13.png
Archer Tower 14,39600,1100000,Gold,https://static.wikia.nocookie.net/clashofclans/images/2/2c/Archer_Tower14.png
Archer Tower 15,43200,1300000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/44/Archer_Tower15.png
Archer Tower 16,57600,1600000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/73/Archer_Tower16.png
Archer Tower 17,72000,1800000,Gold,https://static.wikia.nocookie.net/clashofclans/images/f/fd/Archer_Tower17.png
Archer Tower 18,86400,2000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/6f/Archer_Tower18.png
Archer Tower 19,108000,2200000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/49/Archer_Tower19.png
Archer Tower 20,129600,3000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/34/Archer_Tower20.png
Archer Tower 21,172800,4000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/f/fa/Archer_Tower21.png
Mortar 1,1800,5000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/7a/Mortar1.png
Mortar 2,3600,25000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/ef/Mortar2.png
Mortar 3,7200,90000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/4f/Mortar3.png
Mortar 4,10800,180000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/4e/Mortar4.png
Mortar 5,21600,300000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/e7/Mortar5.png
Mortar 6,28800,500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/42/Mortar6.png
Mortar 7,43200,900000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/4b/Mortar7.png
Mortar 8,64800,1200000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/0e/Mortar8.png
Mortar 9,72000,1600000,Gold,https://static.wikia.nocookie.net/clashofclans/images/1/12/Mortar9.png
Mortar 10,86400,1800000,Gold,https://static.wikia.nocookie.net/clashofclans/images/8/87/Mortar10.png
Mortar 11,108000,2300000,Gold,https://static.wikia.nocookie.net/clashofclans/images/b/ba/Mortar11.png
Mortar 12,129600,2400000,Gold,https://static.wikia.nocookie.net/clashofclans/images/d/d5/Mortar12.png
Mortar 13,172800,2800000,Gold,https://static.wikia.nocookie.net/clashofclans/images/2/2a/Mortar13.png
Mortar 14,216000,4300000,Gold,https://static.wikia.nocookie.net/clashofclans/images/f/f7/Mortar14.png
Mortar 15,259200,5000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/2/23/Mortar15.png
Mortar 16,345600,7000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/04/Mortar16.png
Mortar 17,432000,13000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/01/Mortar17.png
Mortar 18,1080000,21000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/69/Mortar18.png
Mortar 19,345600,9000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/69/Mortar18.png
Mortar 20,518400,7000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/69/Mortar18.png
Air Defense 1,3600,22000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/6f/Air_Defense1.png
Air Defense 2,7200,90000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/ef/Air_Defense2.png
Air Defense 3,21600,210000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/0a/Air_Defense3.png
Air Defense 4,57600,500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/48/Air_Defense4.png
Air Defense 5,64800,800000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/7e/Air_Defense5.png
Air Defense 6,86400,1000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/39/Air_Defense6.png
Air Defense 7,172800,1750000,Gold,https://static.wikia.nocookie.net/clashofclans/images/c/ca/Air_Defense7.png
Air Defense 8,216000,2300000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/03/Air_Defense8.png
Air Defense 9,259200,3400000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/45/Air_Defense9.png
Air Defense 10,345600,5000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/34/Air_Defense10.png
Air Defense 11,388800,5600000,Gold,https://static.wikia.nocookie.net/clashofclans/images/b/ba/Air_Defense11.png
Air Defense 12,432000,6500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/c/c3/Air_Defense12.png
Air Defense 13,518400,8000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/d/d9/Air_Defense13.png
Air Defense 14,561600,9000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/c/cf/Air_Defense14.png
Air Defense 15,604800,15000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/7d/Air_Defense15.png
Air Defense 16,1144800,26000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/00/Air_Defense16.png
Air Defense 17,237600,6000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/00/Air_Defense16.png
Air Defense 18,367200,3000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/00/Air_Defense16.png
Wizard Tower 1,3600,100000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/e5/Wizard_Tower1.png
Wizard Tower 2,5400,150000,Gold,https://static.wikia.nocookie.net/clashofclans/images/8/8e/Wizard_Tower2.png
Wizard Tower 3,14400,250000,Gold,https://static.wikia.nocookie.net/clashofclans/images/a/a5/Wizard_Tower3.png
Wizard Tower 4,28800,400000,Gold,https://static.wikia.nocookie.net/clashofclans/images/5/55/Wizard_Tower4.png
Wizard Tower 5,36000,550000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/6e/Wizard_Tower5.png
Wizard Tower 6,43200,660000,Gold,https://static.wikia.nocookie.net/clashofclans/images/c/c6/Wizard_Tower6.png
Wizard Tower 7,64800,1000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/3f/Wizard_Tower7.png
Wizard Tower 8,72000,1100000,Gold,https://static.wikia.nocookie.net/clashofclans/images/a/ad/Wizard_Tower8.png
Wizard Tower 9,86400,1300000,Gold,https://static.wikia.nocookie.net/clashofclans/images/f/f7/Wizard_Tower9.png
Wizard Tower 10,108000,2000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/c/c0/Wizard_Tower10.png
Wizard Tower 11,129600,2500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/9/9c/Wizard_Tower11.png
Wizard Tower 12,151200,2600000,Gold,https://static.wikia.nocookie.net/clashofclans/images/b/b4/Wizard_Tower12.png
Wizard Tower 13,172800,3000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/3c/Wizard_Tower13.png
Wizard Tower 14,259200,4500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/2/24/Wizard_Tower14.png
Wizard Tower 15,345600,5500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/a/a4/Wizard_Tower15.png
Wizard Tower 16,388800,8000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/7c/Wizard_Tower16.png
Wizard Tower 17,475200,14000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/ef/Wizard_Tower17.png
Air Sweeper 1,14400,200000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/ec/Air_Sweeper1.png
Air Sweeper 2,21600,300000,Gold,https://static.wikia.nocookie.net/clashofclans/images/b/be/Air_Sweeper2.png
Air Sweeper 3,28800,450000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/0d/Air_Sweeper3.png
Air Sweeper 4,43200,800000,Gold,https://static.wikia.nocookie.net/clashofclans/images/b/b6/Air_Sweeper4.png
Air Sweeper 5,86400,1200000,Gold,https://static.wikia.nocookie.net/clashofclans/images/c/c3/Air_Sweeper5.png
Air Sweeper 6,172800,1900000,Gold,https://static.wikia.nocookie.net/clashofclans/images/b/b2/Air_Sweeper6.png
Air Sweeper 7,259200,3400000,Gold,https://static.wikia.nocookie.net/clashofclans/images/9/9c/Air_Sweeper7.png
Hidden Tesla 1,7200,250000,Gold,https://static.wikia.nocookie.net/clashofclans/images/8/81/Hidden_Tesla1.png
Hidden Tesla 2,10800,350000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/e4/Hidden_Tesla2.png
Hidden Tesla 3,14400,500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/f/fb/Hidden_Tesla3.png
Hidden Tesla 4,21600,600000,Gold,https://static.wikia.nocookie.net/clashofclans/images/5/54/Hidden_Tesla4.png
Hidden Tesla 5,43200,800000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/e9/Hidden_Tesla5.png
Hidden Tesla 6,86400,1200000,Gold,https://static.wikia.nocookie.net/clashofclans/images/d/d7/Hidden_Tesla6.png
Hidden Tesla 7,108000,1400000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/79/Hidden_Tesla7.png
Hidden Tesla 8,129600,1600000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/4f/Hidden_Tesla8.png
Hidden Tesla 9,151200,2100000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/e3/Hidden_Tesla9.png
Hidden Tesla 10,172800,3000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/37/Hidden_Tesla10.png
Hidden Tesla 11,216000,3100000,Gold,https://static.wikia.nocookie.net/clashofclans/images/b/b9/Hidden_Tesla11.png
Hidden Tesla 12,259200,3700000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/05/Hidden_Tesla12.png
Hidden Tesla 13,302400,5100000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/78/Hidden_Tesla13.png
Hidden Tesla 14,345600,6500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/f/f1/Hidden_Tesla14.png
Hidden Tesla 15,432000,8200000,Gold,https://static.wikia.nocookie.net/clashofclans/images/9/9e/Hidden_Tesla15.png
Hidden Tesla 16,604800,15000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/32/Hidden_Tesla16.png
Hidden Tesla 17,1123200,25000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/6c/Hidden_Tesla17.png
Hidden Tesla 18,388800,12000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/6c/Hidden_Tesla17.png
Hidden Tesla 19,561600,8000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/6c/Hidden_Tesla17.png
Bomb Tower 1,43200,700000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/68/Bomb_Tower1.png
Bomb Tower 2,64800,1000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/c/c9/Bomb_Tower2.png
Bomb Tower 3,86400,1600000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/46/Bomb_Tower3.png
Bomb Tower 4,129600,1800000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/75/Bomb_Tower4.png
Bomb Tower 5,151200,1900000,Gold,https://static.wikia.nocookie.net/clashofclans/images/d/d2/Bomb_Tower5.png
Bomb Tower 6,172800,2000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/8/83/Bomb_Tower6.png
Bomb Tower 7,259200,4000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/5/59/Bomb_Tower7.png
Bomb Tower 8,302400,5000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/b/bc/Bomb_Tower8.png
Bomb Tower 9,345600,6000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/b/b3/Bomb_Tower9.png
Bomb Tower 10,388800,7000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/07/Bomb_Tower10.png
Bomb Tower 11,604800,8500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/70/Bomb_Tower11.png
Bomb Tower 12,777600,14500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/66/Bomb_Tower12.png
Bomb Tower 13,1123200,25000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/3b/Bomb_Tower13.png
Bomb Tower 14,216000,6000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/3b/Bomb_Tower13.png
Bomb Tower 15,345600,3000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/3b/Bomb_Tower13.png
X-Bow 1,86400,1000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/9/90/X-Bow1_Ground.png
X-Bow 2,108000,1200000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/61/X-Bow2_Ground.png
X-Bow 3,172800,2400000,Gold,https://static.wikia.nocookie.net/clashofclans/images/f/fa/X-Bow3_Ground.png
X-Bow 4,216000,2500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/5/5c/X-Bow4_Ground.png
X-Bow 5,259200,3900000,Gold,https://static.wikia.nocookie.net/clashofclans/images/d/d3/X-Bow5_Ground.png
X-Bow 6,302400,5000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/d/d3/X-Bow6_Ground.png
X-Bow 7,345600,6000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/c/c7/X-Bow7_Ground.png
X-Bow 8,388800,7000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/e9/X-Bow8_Ground.png
X-Bow 9,432000,9000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/c/c1/X-Bow9_Ground.png
X-Bow 10,475200,9500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/d/db/X-Bow10_Ground.png
X-Bow 11,518400,10000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/8/88/X-Bow11_Ground.png
X-Bow 12,691200,16000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/68/X-Bow12_Ground.png
X-Bow 13,1166400,26500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/1/1e/X-Bow13_Ground.png
X-Bow 14,475200,14000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/1/1e/X-Bow13_Ground.png
X-Bow 15,648000,9000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/1/1e/X-Bow13_Ground.png
Inferno Tower 1,43200,1000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/6d/Inferno_Tower1_Single.png
Inferno Tower 2,86400,1200000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/e3/Inferno_Tower2_Single.png
Inferno Tower 3,172800,2400000,Gold,https://static.wikia.nocookie.net/clashofclans/images/2/28/Inferno_Tower3_Single.png
Inferno Tower 4,216000,3400000,Gold,https://static.wikia.nocookie.net/clashofclans/images/a/ae/Inferno_Tower4_Single.png
Inferno Tower 5,259200,4000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/9/91/Inferno_Tower5_Single.png
Inferno Tower 6,345600,6000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/9/90/Inferno_Tower6_Single.png
Inferno Tower 7,432000,8000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/0c/Inferno_Tower7_Single.png
Inferno Tower 8,518400,9500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/69/Inferno_Tower8_Single.png
Inferno Tower 9,561600,10000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/8/8e/Inferno_Tower9_Single.png
Inferno Tower 10,604800,11000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/6c/Inferno_Tower10_Single.png
Inferno Tower 11,691200,16000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/9/92/Inferno_Tower11_Single.png
Inferno Tower 12,1166400,26000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/5/56/Inferno_Tower12_Single.png
Inferno Tower 13,432000,13000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/5/56/Inferno_Tower12_Single.png
Inferno Tower 14,604800,8500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/5/56/Inferno_Tower12_Single.png
Eagle Artillery 1,345600,5000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/4f/Eagle_Artillery1.png
Eagle Artillery 2,432000,6000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/4a/Eagle_Artillery2.png
Eagle Artillery 3,604800,9000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/d/d7/Eagle_Artillery3.png
Eagle Artillery 4,648000,10000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/65/Eagle_Artillery4.png
Eagle Artillery 5,691200,12000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/78/Eagle_Artillery5.png
Eagle Artillery 6,777600,13000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/a/ab/Eagle_Artillery6.png
Eagle Artillery 7,820800,14000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/36/Eagle_Artillery7.png
Scattershot 1,432000,8000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/67/Scattershot1.png
Scattershot 2,604800,9000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/62/Scattershot2.png
Scattershot 3,648000,11000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/4/4c/Scattershot3.png
Scattershot 4,691200,11500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/38/Scattershot4.png
Scattershot 5,734400,12000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/d/d9/Scattershot5.png
Scattershot 6,777600,16500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/6/6d/Scattershot6.png
Scattershot 7,1296000,26500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/37/Scattershot7.png
Scattershot 8,432000,14500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/37/Scattershot7.png
Scattershot 9,604800,7000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/37/Scattershot7.png
Builder's Hut 2,172800,3000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/a/a0/Builders_Hut2.png
Builder's Hut 3,259200,4000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/f/f9/Builders_Hut3.png
Builder's Hut 4,345600,6000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/b/b4/Builders_Hut4.png
Builder's Hut 5,432000,7000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/e7/Builders_Hut5.png
Builder's Hut 6,475200,8000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/0/0b/Builders_Hut6.png
Builder's Hut 7,604800,15500000,Gold,https://static.wikia.nocookie.net/clashofclans/images/8/8c/Builders_Hut7.png
Builder's Hut 8,1123200,24000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/78/Builders_Hut8.png
Builder's Hut 9,345600,10000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/78/Builders_Hut8.png
Builder's Hut 10,518400,8000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/7/78/Builders_Hut8.png
Monolith 1,604800,200000,DE,https://static.wikia.nocookie.net/clashofclans/images/9/9a/Monolith1.png
Monolith 2,691200,250000,DE,https://static.wikia.nocookie.net/clashofclans/images/9/95/Monolith2.png
Monolith 3,777600,260000,DE,https://static.wikia.nocookie.net/clashofclans/images/a/a2/Monolith3.png
Monolith 4,950400,300000,DE,https://static.wikia.nocookie.net/clashofclans/images/6/62/Monolith4.png
Monolith 5,1296000,470000,DE,https://static.wikia.nocookie.net/clashofclans/images/9/96/Monolith5.png
Monolith 6,432000,220000,DE,https://static.wikia.nocookie.net/clashofclans/images/9/96/Monolith5.png
Monolith 7,604800,200000,DE,https://static.wikia.nocookie.net/clashofclans/images/9/96/Monolith5.png
Spell Tower 1,604800,9000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/8/8e/Spell_Tower1_Rage.png
Spell Tower 2,691200,11000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/a/a7/Spell_Tower2_Rage.png
Spell Tower 3,734400,12000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/c/cd/Spell_Tower3_Rage.png
Spell Tower 4,864000,27000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/3/33/Spell_Tower4_Rage.png
Ricochet Cannon 1,604800,12000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/e/ef/Ricochet_Cannon1.png
Ricochet Cannon 2,691200,13000000,Gold,https://static.wikia.nocookie.net/clashofclans/images/9/9e/Ricochet_Cannon2.png
