Name,Category,Data Format
Wall #216,Wall Level,byte
Wall #217,Wall Level,byte
Wall #218,Wall Level,byte
Wall #219,Wall Level,byte
Wall #220,Wall Level,byte
Wall #221,Wall Level,byte
Wall #222,Wall Level,byte
Wall #223,Wall Level,byte
Wall #224,Wall Level,byte
Wall #225,Wall Level,byte
Wall #226,Wall Level,byte
Wall #227,Wall Level,byte
Wall #228,Wall Level,byte
Wall #229,Wall Level,byte
Wall #230,Wall Level,byte
Wall #231,Wall Level,byte
Wall #232,Wall Level,byte
Wall #233,Wall Level,byte
Wall #234,Wall Level,byte
Wall #235,Wall Level,byte
Wall #236,Wall Level,byte
Wall #237,Wall Level,byte
Wall #238,Wall Level,byte
Wall #239,Wall Level,byte
Wall #240,Wall Level,byte
Wall #241,Wall Level,byte
Wall #242,Wall Level,byte
Wall #243,Wall Level,byte
Wall #244,Wall Level,byte
Wall #245,Wall Level,byte
Wall #246,Wall Level,byte
Wall #247,Wall Level,byte
Wall #248,Wall Level,byte
Wall #249,Wall Level,byte
Wall #250,Wall Level,byte
Wall #251,Wall Level,byte
Wall #252,Wall Level,byte
Wall #253,Wall Level,byte
Wall #254,Wall Level,byte
Wall #255,Wall Level,byte
Wall #256,Wall Level,byte
Wall #257,Wall Level,byte
Wall #258,Wall Level,byte
Wall #259,Wall Level,byte
Wall #260,Wall Level,byte
Wall #261,Wall Level,byte
Wall #262,Wall Level,byte
Wall #263,Wall Level,byte
Wall #264,Wall Level,byte
Wall #265,Wall Level,byte
Wall #266,Wall Level,byte
Wall #267,Wall Level,byte
Wall #268,Wall Level,byte
Wall #269,Wall Level,byte
Wall #270,Wall Level,byte
Wall #271,Wall Level,byte
Wall #272,Wall Level,byte
Wall #273,Wall Level,byte
Wall #274,Wall Level,byte
Wall #275,Wall Level,byte
Wall #276,Wall Level,byte
Wall #277,Wall Level,byte
Wall #278,Wall Level,byte
Wall #279,Wall Level,byte
Wall #280,Wall Level,byte
Wall #281,Wall Level,byte
Wall #282,Wall Level,byte
Wall #283,Wall Level,byte
Wall #284,Wall Level,byte
Wall #285,Wall Level,byte
Wall #286,Wall Level,byte
Wall #287,Wall Level,byte
Wall #288,Wall Level,byte
Wall #289,Wall Level,byte
Wall #290,Wall Level,byte
Wall #291,Wall Level,byte
Wall #292,Wall Level,byte
Wall #293,Wall Level,byte
Wall #294,Wall Level,byte
Wall #295,Wall Level,byte
Wall #296,Wall Level,byte
Wall #297,Wall Level,byte
Wall #298,Wall Level,byte
Wall #299,Wall Level,byte
Wall #300,Wall Level,byte
Wall #301,Wall Level,byte
Wall #302,Wall Level,byte
Wall #303,Wall Level,byte
Wall #304,Wall Level,byte
Wall #305,Wall Level,byte
Wall #306,Wall Level,byte
Wall #307,Wall Level,byte
Wall #308,Wall Level,byte
Wall #309,Wall Level,byte
Wall #310,Wall Level,byte
Wall #311,Wall Level,byte
Wall #312,Wall Level,byte
Wall #313,Wall Level,byte
Wall #314,Wall Level,byte
Wall #315,Wall Level,byte
Wall #316,Wall Level,byte
Wall #317,Wall Level,byte
Wall #318,Wall Level,byte
Wall #319,Wall Level,byte
Wall #320,Wall Level,byte
Wall #321,Wall Level,byte
Wall #322,Wall Level,byte
Wall #323,Wall Level,byte
Wall #324,Wall Level,byte
Wall #325,Wall Level,byte
Bomb #1,Trap Level,byte
Bomb #2,Trap Level,byte
Bomb #3,Trap Level,byte
Bomb #4,Trap Level,byte
Bomb #5,Trap Level,byte
Bomb #6,Trap Level,byte
Bomb #7,Trap Level,byte
Bomb #8,Trap Level,byte
Spring Trap #1,Trap Level,byte
Spring Trap #2,Trap Level,byte
Spring Trap #3,Trap Level,byte
Spring Trap #4,Trap Level,byte
Spring Trap #5,Trap Level,byte
Spring Trap #6,Trap Level,byte
Spring Trap #7,Trap Level,byte
Spring Trap #8,Trap Level,byte
Spring Trap #9,Trap Level,byte
Air Bomb #1,Trap Level,byte
Air Bomb #2,Trap Level,byte
Air Bomb #3,Trap Level,byte
Air Bomb #4,Trap Level,byte
Air Bomb #5,Trap Level,byte
Air Bomb #6,Trap Level,byte
Air Bomb #7,Trap Level,byte
Air Bomb #8,Trap Level,byte
Giant Bomb #1,Trap Level,byte
Giant Bomb #2,Trap Level,byte
Giant Bomb #3,Trap Level,byte
Giant Bomb #4,Trap Level,byte
Giant Bomb #5,Trap Level,byte
Giant Bomb #6,Trap Level,byte
Giant Bomb #7,Trap Level,byte
Giant Bomb #8,Trap Level,byte
Seeking Air Mine #1,Trap Level,byte
Seeking Air Mine #2,Trap Level,byte
Seeking Air Mine #3,Trap Level,byte
Seeking Air Mine #4,Trap Level,byte
Seeking Air Mine #5,Trap Level,byte
Seeking Air Mine #6,Trap Level,byte
Seeking Air Mine #7,Trap Level,byte
Seeking Air Mine #8,Trap Level,byte
Seeking Air Mine #9,Trap Level,byte
Skeleton Trap #1,Trap Level,byte
Skeleton Trap #2,Trap Level,byte
Skeleton Trap #3,Trap Level,byte
Skeleton Trap #4,Trap Level,byte
Tornado Trap,Trap Level,byte
Giga Bomb,Trap Level,byte
Elixir Storage #1,Resource Level,byte
Elixir Storage #2,Resource Level,byte
Elixir Storage #3,Resource Level,byte
Elixir Storage #4,Resource Level,byte
Gold Storage #1,Resource Level,byte
Gold Storage #2,Resource Level,byte
Gold Storage #3,Resource Level,byte
Gold Storage #4,Resource Level,byte
Dark Elixir Storage,Resource Level,byte
Elixir Collector #1,Resource Level,byte
Elixir Collector #2,Resource Level,byte
Elixir Collector #3,Resource Level,byte
Elixir Collector #4,Resource Level,byte
Elixir Collector #5,Resource Level,byte
Elixir Collector #6,Resource Level,byte
Elixir Collector #7,Resource Level,byte
Gold Mine #1,Resource Level,byte
Gold Mine #2,Resource Level,byte
Gold Mine #3,Resource Level,byte
Gold Mine #4,Resource Level,byte
Gold Mine #5,Resource Level,byte
Gold Mine #6,Resource Level,byte
Gold Mine #7,Resource Level,byte
Dark Elixir Drill #1,Resource Level,byte
Dark Elixir Drill #2,Resource Level,byte
Dark Elixir Drill #3,Resource Level,byte
Helper Hut,Resource Level,byte
Army Camp #1,Army Level,byte
Army Camp #2,Army Level,byte
Army Camp #3,Army Level,byte
Army Camp #4,Army Level,byte
Barracks,Army Level,byte
Clan Castle,Army Level,byte
Laboratory,Army Level,byte
Hero Hall,Army Level,byte
Dark Barracks,Army Level,byte
Spell Factory,Army Level,byte
Dark Spell Factory,Army Level,byte
Blacksmith,Army Level,byte
Workshop,Army Level,byte
Pet House,Army Level,byte
Barbarian King,Hero Level,byte
Archer Queen,Hero Level,byte
Minion Prince,Hero Level,byte
Grand Warden,Hero Level,byte
Royal Champion,Hero Level,byte
Dragon Duke,Hero Level,byte
Barbarian,Troop Level,byte
Archer,Troop Level,byte
Giant,Troop Level,byte
Goblin,Troop Level,byte
Wall Breaker,Troop Level,byte
Balloon,Troop Level,byte
Wizard,Troop Level,byte
Healer,Troop Level,byte
Dragon,Troop Level,byte
P.E.K.K.A.,Troop Level,byte
Baby Dragon,Troop Level,byte
Miner,Troop Level,byte
Electro Dragon,Troop Level,byte
Yeti,Troop Level,byte
Dragon Rider,Troop Level,byte
Electro Titan,Troop Level,byte
Root Rider,Troop Level,byte
Thrower,Troop Level,byte
Meteor Golem,Troop Level,byte
Minion,Troop Level,byte
Hog Rider,Troop Level,byte
Valkyrie,Troop Level,byte
Golem,Troop Level,byte
Witch,Troop Level,byte
Lava Hound,Troop Level,byte
Bowler,Troop Level,byte
Ice Golem,Troop Level,byte
Headhunter,Troop Level,byte
Apprentice Warden,Troop Level,byte
Druid,Troop Level,byte
Furnace,Troop Level,byte
Ruin Witch,Troop Level,byte
Lightning Spell,Spell Level,byte
Healing Spell,Spell Level,byte
Rage Spell,Spell Level,byte
Jump Spell,Spell Level,byte
Freeze Spell,Spell Level,byte
Clone Spell,Spell Level,byte
Invisibility Spell,Spell Level,byte
Recall Spell,Spell Level,byte
Revive Spell,Spell Level,byte
Totem Spell,Spell Level,byte
Poison Spell,Spell Level,byte
Earthquake Spell,Spell Level,byte
Haste Spell,Spell Level,byte
Skeleton Spell,Spell Level,byte
Bat Spell,Spell Level,byte
Overgrowth Spell,Spell Level,byte
Ice Block Spell,Spell Level,byte
Angry Spell,Spell Level,byte
Wall Wrecker,Siege Level,byte
Battle Blimp,Siege Level,byte
Stone Slammer,Siege Level,byte
Siege Barracks,Siege Level,byte
Log Launcher,Siege Level,byte
Flame Flinger,Siege Level,byte
Battle Drill,Siege Level,byte
Troop Launcher,Siege Level,byte
Sky Wagon,Siege Level,byte
L.A.S.S.I.,Pet Level,byte
Electric Owl,Pet Level,byte
Yak,Pet Level,byte
Unicorn,Pet Level,byte
Frosty,Pet Level,byte
Diggy,Pet Level,byte
Poison Lizard,Pet Level,byte
Phoenix,Pet Level,byte
Spirit Fox,Pet Level,byte
Angry Jelly,Pet Level,byte
Sneezy,Pet Level,byte
Greedy Raven,Pet Level,byte
Barbarian Puppet,Equipment Level,byte
Rage Vial,Equipment Level,byte
Earthquake Boots,Equipment Level,byte
Vampstache,Equipment Level,byte
Giant Gauntlet,Equipment Level,byte
Spiky Ball,Equipment Level,byte
Snake Bracelet,Equipment Level,byte
Stick Horse,Equipment Level,byte
Archer Puppet,Equipment Level,byte
Invisibility Vial,Equipment Level,byte
Giant Arrow,Equipment Level,byte
Healer Puppet,Equipment Level,byte
Frozen Arrow,Equipment Level,byte
Magic Mirror,Equipment Level,byte
Action Figure,Equipment Level,byte
Monolith Arrow,Equipment Level,byte
Henchmen Puppet,Equipment Level,byte
Dark Orb,Equipment Level,byte
Metal Pants,Equipment Level,byte
Noble Iron,Equipment Level,byte
Dark Crown,Equipment Level,byte
Meteor Staff,Equipment Level,byte
Portal Pendant,Equipment Level,byte
Eternal Tome,Equipment Level,byte
Life Gem,Equipment Level,byte
Rage Gem,Equipment Level,byte
Healing Tome,Equipment Level,byte
Fireball,Equipment Level,byte
Lavaloon Puppet,Equipment Level,byte
Heroic Torch,Equipment Level,byte
Royal Gem,Equipment Level,byte
Seeking Shield,Equipment Level,byte
Hog Puppet,Equipment Level,byte
Haste Vial,Equipment Level,byte
Rocket Spear,Equipment Level,byte
Electro Boots,Equipment Level,byte
Frost Flake,Equipment Level,byte
Fire Heart,Equipment Level,byte
Flame Blower,Equipment Level,byte
Stun Blaster,Equipment Level,byte
Electro Fangs,Equipment Level,byte
Rocket Backpack,Equipment Level,byte
Revenge Deck,Equipment Level,byte
